Open,Day Range,52 Week Range,Market Cap,Shares Outstanding,Public Float,Beta,Rev. per Employee,P/E Ratio,EPS,Yield,Dividend,Ex-Dividend Date,Short Interest,% of Float Shorted,Average Volume,Instrument
23.20,22.50 - 23.40,10.60 - 34.40,23.4B,0,268.63M,0,7.471M,16.90,1.33,0,0,0,0,0,2.6M,AEL.N0000
7.50,7.00 - 7.60,3.00 - 9.50,2.18B,0,0,0,10.775M,7.65,0.92,0,0,0,0,0,154.86K,AGST.N0000
61.10,59.00 - 62.50,24.50 - 80.50,24.81B,0,0,0,6.561M,0,-4.01,0,0,0,0,0,455.01K,SPEN.N0000
7.60,7.40 - 7.60,3.50 - 13.80,1.35B,0,0,0,13.007M,0,-0.78,0,0,0,0,0,218.93K,ATL.N0000
22.40,21.10 - 22.40,15.00 - 28.20,0,0,0,0,0,0,0,0,0,0,0,0,11.18K,AINS.N0000
75.00,75.00 - 80.00,53.00 - 99.00,876M,0,0,0,12.918M,20.69,3.63,0,0,0,0,0,2.23K,AUTO.N0000
13.10,13.00 - 13.90,6.10 - 19.50,323.82M,0,0,0,0,0,-18.14,0,0,0,0,0,52.72K,BALA.N0000
8.00,8.00 - 8.20,3.80 - 10.80,424.45M,0,107.51K,0,0,1481.48,0.01,0,0,0,0,0,27.51K,BRR.N0000
11.10,11.10 - 12.30,5.50 - 14.60,1.44B,0,0,0,0,0,-5.75,0,0,0,0,0,11.81K,BBH.N0000
318.25,301.00 - 339.00,140.10 - 520.00,33.66B,0,7.45M,0,5.610M,36.90,8.57,0,0,0,0,0,5.79K,BUKI.N0000
44.90,42.60 - 44.90,30.20 - 59.00,1.57B,0,0,0,15.653M,9.72,4.42,0,0,0,0,0,25.92K,CWM.N0000
63.00,60.00 - 63.00,26.50 - 92.00,6.38B,101.34M,21.4M,0,0,584.06,0.10,0,0,0,0,0,137.39K,CINV.N0000
