Open,Day Range,52 Week Range,Market Cap,Shares Outstanding,Public Float,Beta,Rev. per Employee,P/E Ratio,EPS,Yield,Dividend,Ex-Dividend Date,Short Interest,% of Float Shorted,Average Volume,Instrument
['රු.182.00'],['172.25 - 185.25'],['55.00 - 200.00'],['රු.928.84M'],['N/A'],['N/A'],['N/A'],['රු.3.620M'],['13.77'],['රු.13.20'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['10.34K'],ABAN.N0000?countryCode=LK
['රු.28.00'],['28.00 - 28.00'],['14.50 - 30.10'],['රු.1.8B'],['N/A'],['N/A'],['N/A'],['රු.5.183M'],['14.20'],['රු.1.97'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['2.72K'],AFSL.N0000?countryCode=LK
['රු.29.00'],['27.60 - 29.20'],['10.60 - 34.40'],['රු.29B'],['N/A'],['268.63M'],['N/A'],['රු.7.471M'],['21.33'],['රු.1.33'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['2.8M'],AEL.N0000?countryCode=LK
['රු.112.00'],['103.50 - 112.00'],['22.00 - 130.00'],['රු.12.34B'],['N/A'],['36.63M'],['N/A'],['රු.10.957M'],['13.95'],['රු.7.51'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['782.67K'],ACL.N0000?countryCode=LK
['රු.325.00'],['322.00 - 334.00'],['75.00 - 359.75'],['රු.1.38B'],['N/A'],['N/A'],['N/A'],['N/A'],['7.22'],['රු.46.17'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['16.06K'],APLA.N0000?countryCode=LK
['රු.6.30'],['6.30 - 6.30'],['2.30 - 6.90'],['රු.259.32M'],['N/A'],['N/A'],['N/A'],['රු.7.078M'],['N/A'],['-රු.3.79'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['164.46K'],ACME.N0000?countryCode=LK
['රු.27.30'],['27.30 - 30.00'],['12.80 - 37.10'],['රු.4.27B'],['N/A'],['N/A'],['N/A'],['රු.596.72K'],['8.00'],['රු.3.50'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['24.56K'],AGAL.N0000?countryCode=LK
['රු.7.80'],['7.40 - 7.80'],['3.00 - 9.50'],['රු.2.49B'],['N/A'],['N/A'],['N/A'],['රු.10.775M'],['13.76'],['රු.0.55'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['175.05K'],AGST.N0000?countryCode=LK
['රු.35.00'],['33.50 - 35.20'],['12.00 - 37.00'],['රු.11.87B'],['N/A'],['66.99M'],['N/A'],['රු.5.746M'],['N/A'],['-රු.8.81'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['136.65K'],AHUN.N0000?countryCode=LK
['රු.74.60'],['68.50 - 74.60'],['24.50 - 80.50'],['රු.30.33B'],['N/A'],['89.79M'],['N/A'],['රු.6.561M'],['N/A'],['-රු.1.25'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['493.34K'],SPEN.N0000?countryCode=LK
